127.0.0.1 - - [10/Dec/2021:09:14:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:14:16 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:14:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:14:45 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:15:15 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:08 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:39 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:42 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:43 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:43 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:43 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:44 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:18:44 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:19:10 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:19:11 +0900] "GET /client/html/www.naver.com HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:19:23 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:19:43 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:19:47 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:22:41 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:22:43 +0900] "GET /client/html/ex10_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:25:07 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:25:51 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:25:55 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:25:55 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:25:55 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:25:56 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:26:00 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:29:14 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:29:17 +0900] "GET /client/images/cat01.jpg HTTP/1.1" 200 48296
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:32:55 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:32:56 +0900] "GET /client/html/test.txt HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:32:59 +0900] "GET /client/html/html.zip HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:33:18 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:33:26 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:33:28 +0900] "GET /client/html/test.txt HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:33:33 +0900] "GET /client/html/html.zip HTTP/1.1" 200 14273
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:34:45 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:34:46 +0900] "GET /client/html/test.txt HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:40:44 +0900] "GET /client/html/question/style/q02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:41:58 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:41:59 +0900] "GET /client/html/test.txt HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:42:11 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:42:29 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:42:31 +0900] "GET /client/images/cat01.jpg HTTP/1.1" 200 48296
0:0:0:0:0:0:0:1 - - [10/Dec/2021:09:48:40 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:02:21 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:03:45 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 4734
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:05:05 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:07:13 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:07:15 +0900] "GET /client/html/a HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:07:56 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:07:58 +0900] "GET /client/html/a1 HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:09:00 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:13:12 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:13:16 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:13:19 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:15:54 +0900] "GET /client/html/ex11_link.html HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:21:11 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:21:13 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:21:34 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:21:58 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:22:04 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:22:09 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:22:16 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:22:16 +0900] "GET /client/imasges/cat01.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:22:23 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:23:49 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:24:01 +0900] "GET /client/html/ex12_image.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Dec/2021:10:24:01 +0900] "GET /client/images/cat02.jpg HTTP/1.1" 304 -
